Category,Sub Category,ProductDescription,Barcode,TescoProductID,BaseID,Price (£),Unit Price (£),Unit Of Measure,SpecialOffer,OfferStartDate,OfferEndDate,CurrentlyAvailable,DateScraped,WebLink,Aldi Price Match,Deposit
Fresh Fruit,"Mango, Kiwi & Exotic Fruit",Dole Go Organic Orange 4 pack,05391537732423	,317993681,93887634,2.99,0.75,each,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/317993681,No,
Fresh Fruit,"Fruit Pots, Platters & Packs",Simplyfruit Exotic Fruit Salad 450G,05060054689977	,330746337,98582210,4.29,9.53,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/330746337,No,
Fresh Fruit,Grapes,Keelings Limited Edition Grapes 400g,05391521912176	,330776993,98267151,3.49,8.72,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/330776993,No,
Fresh Fruit,Apples & Pears,Dole Fresh and Fruity Apples 4 Pack,05391537732867	,322847479,97324327,2.99,0.75,each,NA,NA,NA,False,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/322847479,No,
"Dried Fruit, Nuts, Nutrient Powders & Seeds",Plain Nuts & Seeds,Sowan's Pecan Nuts 100G,05099809131324	,287248432,78472767,2.9,29.0,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/287248432,No,
"Dried Fruit, Nuts, Nutrient Powders & Seeds",Plain Nuts & Seeds,Sowan's Brazil Nuts 100G,05099809131386	,287248740,78472928,2.5,25.0,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/287248740,No,
Fresh Fruit,"Dried Fruit, Nuts & Seeds",Tesco Soft Figs 250G,00000010057742	,258058058,50404224,2.5,10.0,kg,NA,NA,NA,False,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/258058058,No,
"Dried Fruit, Nuts, Nutrient Powders & Seeds",Plain Nuts & Seeds,Sowan's Whole Almonds 100G,05099809131348	,287248515,78472807,1.8,18.0,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/287248515,No,
Fresh Fruit,"Dried Fruit, Nuts & Seeds",Forest Feast Natural Almonds 50G,05022374058703	,315380885,92482550,1.5,30.0,kg,Any 2 for €2.20 Clubcard Price - Selected Forest Feast Products,19/08/2026,29/09/2026,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/315380885,No,
Fresh Fruit,"Mango, Kiwi & Exotic Fruit",Tesco Finest Mango Each,00000010039922	,250164181,54269193,2.49,2.49,each,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/250164181,No,
"Dried Fruit, Nuts, Nutrient Powders & Seeds",Organic,Sowan's Organic Whole Almonds 100G,05099809148704	,310160192,89439054,3.0,30.0,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/310160192,No,
Fresh Fruit,"Dried Fruit, Nuts & Seeds",Jomara Assorted Filled Dates 200g,06290361204481	,323166442,97173136,8.99,44.95,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/323166442,No,
Fresh Fruit,"Mango, Kiwi & Exotic Fruit",Tesco Finest Passion Fruit 2 pack,00000003453896	,322442745,97122930,3.37,1.68,each,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/322442745,No,
Fresh Fruit,"Dried Fruit, Nuts & Seeds",Jomara Khidri Organic Dates 350g,06291108639245	,322757787,97277941,5.99,17.11,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/322757787,No,
Fresh Fruit,"Oranges, Lemons & Citrus Fruit",Bagu Naturally Sweet Juicy Oranges 5 Pack,05099400003280	,310695359,89964635,3.49,0.7,each,NA,NA,NA,False,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/310695359,No,
Fresh Fruit,Apples & Pears,Qtee Pears 4 Pack,05391515740754	,312577787,91483775,2.29,0.57,each,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/312577787,No,
